id	ObjecttypeVanID	AttribuutVan1ID	DomeinwaardeVan1ID	AttribuutVan2ID	DomeinwaardeVan2ID	AttribuutVan3ID	DomeinwaardeVan3ID	AttribuutVan4ID	DomeinwaardeVan4ID	InformatiemodelNaarID	ObjecttypeNaarID	AttribuutNaar1ID	DomeinwaardeNaar1ID	AttribuutNaar2ID	DomeinwaardeNaar2ID	AttribuutNaar3ID	DomeinwaardeNaar3ID	Toelichting
1876	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8308							IMGeo	Kast (IG)	plus-type	openbare verlichtingkast 					
1878	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8309							IMGeo	Kast (IG)	plus-type	rioolkast 					
1879	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8310							IMGeo	Kast (IG)	plus-type	telecom kast 					
1880	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8311							IMGeo	Kast (IG)	plus-type	telkast 					
1881	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_490	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/prop/Attributen_256	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/vastewaardelijst/AttributenDomeinwaarden_8312							IMGeo	Kast (IG)	plus-type	verkeersregelinstallatiekast 					
1884	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_96									IMGeo	Kunstwerkdeel (IG)	plus-type	bodemval 					
1885	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_97									IMGeo	Kunstwerkdeel (IG)	plus-type	coupure 					
1886	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_397									IMGeo	Kunstwerkdeel (IG)	bgt-type	kering					
1887	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_553									IMGeo	Kunstwerkdeel (IG)	plus-type	duiker 					
1898	http://linkeddata.crow.nl/otl-bim-pro-imbor/def/objecttype/Objecttypes_149									IMGeo	Kunstwerkdeel (IG)	bgt-type	gemaal					
